User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
chunguswaifu,5341,Platinum 2,Duelist,0.7341,5.2,24.7845,40.2
Fill Any Agent,Muted,Diamond 1,Duelist,1.8257,3.6,17.8318,46.2
Messiah,TMTM,Immortal 1,Duelist,0.9622,5.6,12.5515,41.2
Monarch,SHW,Diamond 1,Flex,1.0849,4.0,30.5019,42.4
blp,6666,Immortal 1,Controller,1.1809,4.8,17.9422,35.8
iso,oni,Diamond 2,Sentinel,1.3066,3.6,29.8149,50.8
Delta Papa,NA1,Diamond 1,Initiator,0.9622,6.2,13.8202,50.6
master shifu,come,Diamond 2,Sentinel,1.2834,5.0,30.5597,22.0
ZN0W,Peace,Immortal 1,Initiator,0.6734,7.4,23.5686,58.6
Lava hound,reyna,Immortal 1,Duelist,1.4978,3.8,21.2203,53.0
StarBound,idk,Radiant,Sentinel,1.688,2.6,14.6576,32.8
Cise,BAD,Diamond 3,Flex,0.8121,4.0,29.7132,54.6
ＬｅｅｌＤａＧｏｄ,LFT,Immortal 1,Flex,0.9674,4.8,0.0,0.0
illeye,000,Diamond 2,Initiator,1.4891,3.4,13.7926,12.4
Naes,9999,Diamond 3,Duelist,1.4751,2.0,27.2397,36.0
Jiga chad,xqc,Diamond 3,Duelist,0.8049,2.0,23.3264,37.2
RichAF,papi,Diamond 3,Duelist,0.9295,3.6,27.5548,29.2
Matty,0429,Silver 3,Flex,0.6538,2.0,0.0,0.0
Ryc,ttv,Immortal 2,Controller,0.8117,4.2,8.6817,22.0
croc baby,NA1,Diamond 3,Flex,0.8783,6.8,19.6185,64.0
OnlyGoodWhenHigh,69420,Diamond 2,Flex,1.1892,3.2,30.1507,37.6
tripp,baby,Diamond 3,Flex,1.2022,4.6,18.9346,39.0
DeeG JB,2001,Immortal 1,Initiator,0.9465,5.0,21.6514,26.6
BigNews,18006,Diamond 3,Controller,0.6709,6.6,16.8209,36.4
TrippieBeard,NA1,Diamond 1,Sentinel,1.3317,1.8,13.2428,29.8
snooze,4385,Diamond 2,Initiator,0.7395,3.4,15.8644,32.4
Chizuru Mizuhara,1011,Diamond 3,Flex,0.9358,6.0,19.1659,41.2
Seal,8628,Diamond 3,Initiator,0.7357,3.6,26.5476,41.8
DattDaddy,2inch,Immortal 1,Initiator,1.5885,6.4,19.7949,28.8
Zeus,KOS,Platinum 3,Duelist,1.6119,4.6,40.6346,44.8
Waldino,yes,Bronze 3,Flex,0.9532,6.8,3.8462,12.4
YourBoyNemo,NA1,Diamond 3,Flex,1.4167,4.0,25.5814,45.0
Ryuqi,TTV,Platinum 3,Flex,1.2618,5.2,26.4649,38.8
jai addict,goofy,Diamond 1,Flex,0.9733,2.0,0.0,1.2
chumami,toma,Diamond 1,Duelist,1.7654,5.4,14.1117,44.2
15FPSWarrior,4684,Diamond 3,Controller,1.081,5.4,12.1377,39.2
fortnitelobby294,gang,Diamond 1,Duelist,1.0932,2.2,19.8531,23.0
Walter Jr Cereal,EGGS,Immortal 1,Initiator,0.8082,10.0,14.6638,54.6
Solvint,999,Diamond 3,Flex,1.0283,5.4,20.5976,48.2
Bimbleton,6040,Diamond 1,Flex,0.9562,5.6,20.0836,39.0
wannapipe,6732,Platinum 3,Initiator,0.8908,5.4,15.6547,41.4
Raa,NA2,Immortal 3,Duelist,1.5007,4.8,11.8813,28.6
Jxnnii,DAV,Diamond 2,Flex,1.1197,7.2,4.6678,23.0
pablo,LUX,Diamond 3,Controller,0.9177,5.4,31.1281,50.2
PurplePuppy458,ABCDJ,Diamond 1,Flex,1.0769,5.0,25.0,62.0
Itadori,Daddy,Diamond 1,Flex,1.0526,1.8,16.6687,22.0
Chris,2328,Gold 2,Duelist,1.022,2.4,9.5614,14.6
wizard,2929,Gold 2,Flex,1.276,4.8,19.734,13.4
Mister Fishy,FISH,Gold 3,Flex,2.1394,5.6,5.8824,4.8
197,4538,Platinum 2,Flex,0.7986,6.4,12.1528,22.0
Baca,borca,Gold 2,Sentinel,1.6141,6.6,13.4103,45.6
kaeky wakey,386,Diamond 2,Sentinel,1.8625,1.8,30.2075,38.0
Christits,211,Diamond 3,Flex,1.2321,5.2,19.715,51.6
Water,w3t,Immortal 2,Sentinel,1.3211,2.2,23.103,39.6
Girls69,NA1,Platinum 3,Controller,0.7638,4.0,21.63,37.6
guartish,fku,Diamond 1,Duelist,1.309,4.6,8.4211,7.6
DK Jayse,AWP,Diamond 2,Initiator,0.4118,4.4,13.9833,30.2
