User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
willhealformeows,uwu,Bronze 1,Flex,NaN,NaN,NaN,NaN
BrownieCore,5901,Bronze 3,Sentinel,1.3013,7.4,10.1434,23.6
cult,1600,Gold 3,Flex,1.4088,4.0,9.995,24.8
Nomee,001,Immortal 1,Flex,0.9829,6.4,26.4598,50.8
JokerARS3N3,1003,Bronze 2,Flex,0.9754,3.0,12.8748,34.8
AssJiggler,Jigzz,Silver 2,Duelist,1.4123,3.8,15.9265,31.8
Novelia,0713,Iron 3,Duelist,0.6556,1.6,6.4683,19.4
TheViolator,0690,Gold 1,Sentinel,1.197,9.6,10.9288,19.4
2cents98,7720,Iron 3,Flex,1.7692,4.0,0.0,0.0
InfiniteBiscuits,NA1,Bronze 3,Flex,1.395,1.6,17.4637,19.0
DictatorPug,NA1,Silver 2,Initiator,0.7347,2.6,16.0419,45.8
Whorloc,5586,Bronze 2,Duelist,1.8587,2.0,13.01,26.6
lauda solem,0242,Silver 3,Flex,0.9509,5.4,15.8691,62.8
c0ws0kz,7777,Bronze 1,Sentinel,0.6417,2.4,9.9062,10.8
Swift,7734,Bronze 1,Duelist,1.3767,5.0,9.4745,47.2
achilles,L0R3,Iron 3,Controller,0.3962,2.6,8.8783,6.6
Jett ツ,LOL,Bronze 2,Duelist,1.3764,4.8,5.8358,13.8
BenChennisson,Trash,Iron 3,Initiator,0.7164,3.6,6.8219,25.4
gendu1122,8645,Silver 3,Flex,0.7703,6.4,0.0,0.0
PooPooDamage,1597,Bronze 3,Duelist,0.6471,5.0,11.477,41.6
Hwasome,NA1,Silver 3,Flex,1.2578,4.6,0.0,0.0
dissy,123,Gold 3,Duelist,1.0065,4.6,11.6454,30.6
AldeN,1291,Platinum 1,Flex,0.99,7.6,14.0762,47.4
Bwunn,hops,Silver 3,Flex,0.8346,4.0,0.0,0.0
officialnando,NA1,Iron 3,Initiator,0.4667,2.0,11.0667,7.8
swishy,4634,Silver 2,Duelist,1.1699,8.0,11.4573,68.2
OreoGod,DADDY,Iron 2,Duelist,0.8555,2.8,19.3983,20.6
Mystic,6715,Silver 2,Flex,0.5625,2.0,17.6471,36.0
snape,77777,Silver 1,Flex,NaN,NaN,NaN,NaN
dMATEthedMATE,4435,Bronze 1,Initiator,1.0634,4.4,9.2172,29.6
LCNPREDATOR,8749,Iron 3,Duelist,1.0975,3.4,13.7772,13.8
Dino,3375,Iron 3,Flex,NaN,NaN,NaN,NaN
V1 rgin,nosex,Gold 2,Duelist,1.37,2.8,21.8991,25.4
Headz,4908,Bronze 2,Flex,NaN,NaN,NaN,NaN
juaneato,4894,Iron 3,Flex,NaN,NaN,NaN,NaN
A Wild Wildberry,WILD,Iron 2,Flex,1.3253,3.2,11.709,26.6
wntzl,5085,Silver 1,Flex,1.2549,4.4,24.2791,39.8
ackermonke,5901,Silver 1,Flex,0.8039,7.4,10.0511,25.4
Eclipse,0016,Diamond 3,Flex,0.8711,3.0,16.1297,31.2
DREIM,2402,Gold 1,Initiator,0.8746,3.8,14.3913,44.8
Epicnate07,5917,Silver 1,Flex,NaN,NaN,NaN,NaN
Radio Iron,Iron,Bronze 3,Initiator,1.2589,5.4,10.0,12.4
Ritzbitz58,5858,Iron 1,Duelist,0.393,5.0,4.8645,52.2
NIX,6942,Bronze 1,Initiator,0.8204,2.8,7.6252,12.6
trendz,5447,Bronze 1,Initiator,0.546,4.0,4.1667,6.4
Osky,Husky,Silver 3,Duelist,1.0064,5.2,13.2228,25.2
tiramisu,11111,Iron 3,Flex,0.8967,3.6,8.4851,19.0
Smol Gamer,2773,Iron 2,Flex,1.2036,3.2,18.9519,18.8
shad,42069,Iron 2,Duelist,0.9013,3.8,4.3386,10.8
WannaBeFriends,imgay,Iron 3,Flex,0.625,2.0,26.4706,24.0
MistakeDrake,NA1,Silver 2,Flex,0.7708,6.0,23.4343,39.3333
wendigo,fragg,Platinum 1,Duelist,0.8013,4.6,19.8163,79.2
Dotted Clover,Finch,Bronze 1,Controller,0.8941,3.2,9.8017,14.4
ekez,9923,Silver 2,Duelist,1.0811,2.2,11.1206,25.2
stickiestsyrup,8938,Platinum 2,Flex,1.4333,1.6,11.7286,16.8
