User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
Kirby,oni,Platinum 1,Controller,1.1846,5.6,9.7658,51.2
Loavah,werhi,Silver 1,Flex,0.5862,4.0,0.0,0.0
Marsh58,6061,Gold 3,Controller,1.0291,5.2,13.2038,44.6
Gains,6059,Gold 3,Flex,1.2912,5.2,18.7786,45.4
Ogmudbone,6722,Gold 3,Duelist,1.051,5.0,20.6296,45.6
Avelia,Uwu,Gold 1,Sentinel,0.9476,6.2,18.621,51.6
ernie,among,Gold 2,Flex,1.2778,7.0,31.746,51.0
Fanshiko,4444,Gold 1,Flex,NaN,NaN,NaN,NaN
malice,silk,Platinum 1,Flex,0.7222,5.0,42.7857,45.5
Velozity,8888,Platinum 1,Duelist,1.4333,3.6,12.4658,39.8
LETSGOOOO,B4LLR,Gold 3,Duelist,1.4635,2.0,28.165,20.0
DaddyChill,3941,Silver 1,Duelist,0.7722,4.8,18.7013,12.4
Dennko,1357,Platinum 1,Controller,0.9408,9.2,10.2053,30.4
240hz Virgin,3869,Gold 3,Initiator,0.8951,5.2,19.8984,39.6
Wilds,NA1,Diamond 3,Flex,0.9833,3.2,0.0,0.0
Simp Corner,6969,Diamond 2,Flex,1.0801,4.2,14.2846,21.4
SMG,9121,Gold 2,Flex,NaN,NaN,NaN,NaN
Cursed,ACC,Platinum 2,Initiator,1.8813,5.6,18.7848,40.4
yor,love,Platinum 2,Controller,0.9571,4.8,24.7034,40.6
kujo,666,Gold 3,Flex,1.3889,4.0,22.5806,62.0
JetpackRobin,NA1,Platinum 1,Flex,0.75,2.0,34.7826,33.0
alonso,ElUno,Platinum 3,Sentinel,1.1305,4.0,19.8355,42.0
bradley,4475,Silver 3,Flex,1.1429,9.0,6.5789,46.0
brsrk,1010,Platinum 1,Flex,1.6132,6.5,31.152,57.0
Ganyu,エイデン,Platinum 2,Flex,0.8887,4.6,14.5189,39.0
speedygremlins,3688,Gold 2,Sentinel,1.4382,4.4,14.7994,37.6
DGN Zaleblee,Zale,Diamond 3,Sentinel,1.2534,5.4,13.3163,72.4
DatPizzaDough,8665,Gold 3,Duelist,0.9571,5.2,12.9334,50.0
Fern,9495,Platinum 1,Duelist,1.3783,2.0,20.6561,25.6
joner,jone,Platinum 3,Flex,0.8249,4.0,0.0,0.0
flext,two,Gold 2,Duelist,0.7939,4.6,18.7007,32.0
Plaid,6969,Gold 3,Flex,0.9301,5.2,10.1689,43.4
MilFetish,666,Silver 3,Sentinel,0.5974,3.6,7.7313,32.4
自由香港,5918,Gold 1,Flex,0.7076,9.6,0.0,0.0
Knight,1701,Gold 3,Flex,0.7143,3.0,18.9189,40.0
Obligatory,7019,Platinum 1,Flex,0.7727,3.5,27.5,24.5
SiberianPandas,5363,Platinum 2,Controller,0.5015,6.4,11.6581,45.4
z Velocity,1892,Gold 3,Controller,1.0314,6.4,14.3335,65.4
Hoogie,2810,Gold 2,Duelist,1.1153,3.4,20.9014,32.6
isolixxxx,2563,Gold 2,Flex,0.9172,5.2,0.0,0.0
williyum,80085,Platinum 3,Flex,0.1857,1.8,0.0,0.0
SL Aware,1075,Gold 3,Sentinel,1.6438,3.8,15.024,34.6
SlimesPocket,SageE,Bronze 3,Duelist,1.2686,4.2,13.1346,20.8
Eather,15645,Platinum 1,Duelist,0.7607,7.8,21.1967,48.8
mrgray24,7851,Gold 3,Initiator,0.8533,7.0,16.8998,38.0
eric,ussy,Platinum 3,Initiator,0.8545,6.4,28.367,29.0
Moca 2,THK,Platinum 1,Sentinel,1.204,5.0,22.9973,24.4
Rehlinquish,0226,Gold 2,Initiator,1.1493,4.6,17.0428,33.6
TacoMuncher2013,thebb,Gold 3,Flex,0.6276,3.4,15.3082,23.8
onedollarah,NA1,Silver 2,Duelist,0.9476,3.0,8.2406,19.6
dracosznwb,ygfs,Gold 2,Flex,1.0667,4.0,12.5,34.0
Watch,1111,Platinum 2,Controller,1.1416,5.4,18.6879,54.6
XC Soy Bean,6424,Silver 3,Controller,2.4417,4.6,16.8282,34.8
Jynxeon,0523,Platinum 3,Initiator,0.7578,5.6,19.9951,64.0
Dark magician,YUGl,Gold 2,Flex,1.275,5.0,29.9645,33.5
biddy,6673,Platinum 2,Sentinel,1.2996,2.2,23.7623,31.0
Naan,1989,Diamond 2,Flex,NaN,NaN,NaN,NaN
downbadsoymilk,7727,Gold 3,Controller,1.0467,8.2,11.9111,44.6
DAnie841,1351,Platinum 1,Duelist,1.3503,5.3333,33.4665,40.3333
Ech0,suffy,Diamond 1,Controller,0.9444,5.0,23.6571,23.8
Miggy,7896,Gold 1,Flex,0.55,2.5,19.1532,24.5
Feløny,666,Platinum 1,Flex,0.9571,3.4,17.9015,22.4
Auskara,2845,Gold 2,Flex,1.2,6.0,22.262,46.8
iAmCursed,1234,Gold 3,Flex,0.8571,4.0,41.6667,19.0
Simplistxc,SIMP,Platinum 3,Sentinel,1.2952,4.6,18.3082,26.6
GreekFreek,4288,Gold 2,Flex,0.8331,4.5,0.0,0.0
gekyume,1000,Gold 3,Flex,0.8288,7.8,9.5901,47.2
scry,7947,Gold 3,Flex,0.9475,5.0,16.6565,30.2
Sonber,Judge,Gold 3,Flex,1.288,6.0,14.9091,90.0
