User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
Lenox,3998,Gold 2,Duelist,2.8619,4.6,20.061,28.8
ZoroKunTB,3890,Bronze 2,Flex,1.0803,5.4,6.9322,47.8
DoNotDisturb,9337,Bronze 2,Sentinel,1.0804,1.8,12.7813,15.6
blond,2230,Silver 2,Duelist,0.9883,2.2,20.7609,29.4
kendall,6666,Bronze 3,Flex,0.9386,3.6,8.837,25.0
gary the snail,pnppl,Gold 2,Flex,1.398,2.8,8.9797,30.6
Gray,FLY,Bronze 2,Flex,0.8471,4.2,20.8315,31.6
Zifril,6969,Silver 2,Duelist,1.1834,3.6,29.0905,31.2
ImGR3Y,0524,Bronze 2,Initiator,0.7819,2.8,10.2684,21.6
based gigachad69,84567,Silver 1,Duelist,1.7099,4.6,9.635,21.0
Top Is Lonely,NA1,Silver 1,Flex,1.2861,6.0,5.8865,13.2
Jay Powell,1515,Gold 1,Flex,1.5268,3.4,9.0563,34.8
ShivPapaBoss,4699,Silver 3,Flex,0.9965,2.6,26.858,28.6
KittahMittens,NA1,Bronze 3,Initiator,0.5461,6.8,14.5097,43.8
spiro,3561,Silver 2,Duelist,1.652,4.0,9.649,33.8
kanbina,hehe,Bronze 2,Controller,0.8162,6.4,13.8398,32.8
VII,1740,Bronze 1,Sentinel,0.8832,5.4,12.013,13.2
butternutsipcup,420,Gold 1,Duelist,2.2578,1.4,14.2288,11.4
ShtinkyJohn,7269,Bronze 3,Sentinel,1.6217,3.2,17.2144,14.0
Conductor,1740,Platinum 1,Initiator,0.9946,3.6,0.0,0.0
Ninja,6114,Bronze 2,Flex,1.6657,2.6,4.1474,32.2
Fye,6969,Gold 2,Sentinel,1.0078,1.0,15.6766,13.6
bornredathena,5222,Bronze 1,Flex,1.1551,3.8,13.087,14.6
Nyami,1021,Silver 2,Controller,1.3417,3.2,13.8989,18.8
milk green tea,boba,Silver 2,Flex,1.0489,3.6,14.5254,28.2
JayXD,0069,Bronze 1,Flex,2.0,9.0,0.0,0.0
ItsMercs,NA1,Bronze 2,Duelist,0.684,4.2,9.5603,26.0
yin,jakey,Bronze 3,Flex,0.9271,6.6,6.7532,19.8
Khangaroo,NA1,Diamond 1,Initiator,0.9778,4.2,13.3776,45.2
ShavedBalls,8709,Diamond 2,Controller,0.9683,3.6,16.4386,65.2
brisk,CEO,Gold 2,Initiator,1.5547,6.0,15.982,29.2
ChewPompa,5517,Iron 1,Flex,0.6285,1.0,10.1481,5.0
village idiot,413,Silver 1,Duelist,2.1672,4.6,19.7355,35.8
ArkoHulk69,6102,Silver 2,Sentinel,1.4641,4.0,16.001,40.4
KingMello,dad,Silver 1,Duelist,0.7216,6.0,18.2228,48.4
MysticMara,Mommy,Iron 1,Flex,0.3509,1.0,35.2564,16.0
sad melons,4989,Bronze 1,Flex,0.972,3.0,21.4053,51.2
999 All Out,999,Platinum 2,Duelist,0.6676,2.4,16.1372,17.6
KRU 25Goner,KRU,Silver 3,Duelist,1.2167,5.0,15.1111,14.2
mari tsnmi,333,Silver 3,Flex,0.7918,5.6,8.2275,27.2
SeriousCircles,9334,Bronze 3,Duelist,1.3533,4.6,11.4693,21.0
catsuwu,9465,Bronze 1,Duelist,0.8152,3.2,12.9673,20.0
Ledrook,7806,Bronze 1,Sentinel,1.5609,5.2,15.4628,50.8
Sleepy Joe,COCO,Gold 1,Flex,0.8633,5.2,15.9786,14.0
Veroq,NA1,Silver 2,Duelist,1.3093,2.4,15.4322,44.6
melon,12523,Bronze 3,Initiator,1.8331,5.2,8.8254,22.4
Knightro,NA1,Platinum 1,Duelist,1.3257,4.4,15.6613,45.0
yang,azzy,Silver 1,Duelist,0.6893,4.2,17.7044,20.0
deepstroke,2131,Silver 2,Duelist,1.4647,3.0,12.2408,10.4
tomagoson,pudin,Bronze 2,Duelist,1.16,3.2,7.028,26.6
tempted,1111,Gold 2,Duelist,2.3737,2.8,21.5397,21.4
YONOURIE,NA1,Bronze 3,Flex,0.625,5.0,0.0,0.0
LastMelon,Melon,Silver 1,Initiator,1.0392,6.0,16.0595,35.0
wonone1,3111,Silver 3,Duelist,1.9309,4.8,15.4529,26.0
GoShack,1558,Silver 3,Duelist,0.7679,2.8,14.0502,16.0
jessicaa,luv,Bronze 2,Duelist,0.9342,6.2,13.96,32.8
MrSen,2710,Bronze 2,Sentinel,1.3569,5.6,3.9286,7.0
Pxchy,7330,Gold 3,Flex,1.1228,7.2,7.0551,58.8
chia,6969,Gold 2,Flex,0.7988,7.2,25.0164,67.2
Mommy Milkinson,8233,Bronze 3,Duelist,1.63,2.8,15.7191,27.6
A B,7475,Platinum 1,Controller,1.3924,5.2,12.0484,34.8
v Lady Panther v,NA1,Gold 1,Flex,0.8791,3.6,14.3742,67.2
creature,1368,Silver 1,Duelist,1.8367,1.6,4.6144,15.6
Domm,2903,Silver 1,Duelist,1.703,5.0,20.8878,33.8
Swofty,4834,Silver 1,Sentinel,0.9522,4.6,14.348,8.4
tempbenboi,8597,Iron 3,Duelist,3.24,1.6,16.5115,20.4
InfantOWO,OWO,Bronze 1,Duelist,1.2311,2.6,5.5377,46.0
McNoob,NA1,Gold 2,Flex,1.0945,5.0,8.4226,18.8
WDYMSIR,6925,Gold 1,Initiator,0.6692,6.0,18.6194,31.4
AaronSpearMan,NA1,Silver 1,Flex,0.9629,5.8,8.9831,41.0
jawongg,NA1,Silver 1,Flex,1.5495,4.4,12.7875,28.2
Chooter,6737,Gold 3,Duelist,0.9111,3.4,13.807,42.8
KPX EVÄC,NA1,Silver 2,Initiator,0.897,6.8,11.7751,36.6
stepsis,lover,Gold 1,Flex,1.1095,2.4,19.9821,39.2
JCrightjc,2214,Gold 2,Flex,0.9105,3.6,14.694,34.6
fanalis,1128,Bronze 2,Duelist,0.8329,4.6,14.1579,7.0
Another Neptune,NA1,Silver 3,Sentinel,2.3649,4.4,7.0719,15.8
Josê Rizal,NA1,Silver 1,Flex,1.0024,6.0,13.7818,46.8
Vio,Nope,Bronze 1,Flex,NaN,NaN,NaN,NaN
smallerthanmin,1191,Bronze 2,Flex,1.0333,3.2,13.964,25.4
aKuL,42069,Gold 1,Flex,0.9092,6.0,20.5893,45.0
Toon,rembr,Silver 1,Duelist,0.3312,0.8,12.1579,2.8
Boertel,4036,Bronze 2,Duelist,1.003,6.6,2.9167,5.6
Smart Alec,7683,Bronze 1,Duelist,0.7262,3.8,6.159,24.4
FaZe Lucypher,Dante,Platinum 1,Controller,1.3575,7.8,25.063,53.6
WetWorm,7943,Bronze 1,Flex,1.5111,5.0,11.2854,55.6
KIZMØ,ttv,Gold 1,Flex,1.8475,6.8,0.0,0.0
Chilly,weeny,Bronze 1,Initiator,0.6871,5.8,7.4536,18.4
한국놈Zeek,haha,Platinum 3,Duelist,1.5562,4.4,19.388,42.4
Teach,MDT,Gold 3,Sentinel,1.2547,3.2,9.9565,16.2
DeltaPixl,NA1,Silver 2,Flex,1.4991,5.2,13.5246,41.8
FlapMcJack,NA1,Silver 2,Sentinel,1.1639,4.6,14.0404,30.2
Glassk,11111,Silver 3,Duelist,0.9214,2.0,12.2968,16.0
Mendo,1128,Silver 2,Duelist,2.0528,2.2,14.4196,21.2
DaddyFlexy,1684,Silver 2,Duelist,0.827,3.0,17.9228,30.8
yurtle,8812,Gold 3,Duelist,2.3223,4.8,17.4561,39.8
sadwad,rina,Platinum 1,Duelist,1.2345,3.8,24.81,30.6
ARC2ARK,1408,Silver 1,Duelist,0.7074,3.0,10.4222,23.0
Breyzys,SMEAG,Silver 1,Sentinel,0.7253,3.0,19.5185,28.8
Blasphemy,4597,Bronze 3,Controller,0.8397,2.6,18.424,32.0
Obunga5,lmfao,Silver 1,Duelist,0.595,3.0,13.961,28.8
AppyJaxx,NA1,Bronze 3,Duelist,0.875,3.0,16.2274,35.2
LORD GECKO II,NA1,Bronze 3,Flex,0.6906,4.2,12.5376,33.2
Sucrose,5728,Bronze 1,Duelist,0.6796,3.4,17.0415,20.6
legos,8570,Bronze 2,Duelist,0.7873,5.8,6.9916,33.8
linguini420,NA1,Bronze 3,Sentinel,0.4518,5.2,12.9795,36.6
Artificial x,NA1,Bronze 1,Initiator,1.3133,1.4,12.2618,11.4
Plymby,6565,Bronze 2,Flex,1.5757,2.4,7.5406,16.0
