User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
43QF4EkmDHBsderg,zSEOK,Immortal 2,Flex,1.1078,4.0,19.175,39.4
kas,ibear,Immortal 3,Flex,1.0499,2.4,27.5346,25.2
FS Torrify シ,Vamos,Immortal 3,Sentinel,2.0131,3.4,27.2096,35.6
longdomu,maple,Immortal 1,Flex,1.1613,4.2,27.4393,54.8
ASP 8ecause,smile,Radiant,Flex,1.2964,2.8,29.0427,52.6
Ramzy,4583,Diamond 3,Flex,1.1714,4.2,24.5081,32.8
LightzOut,las,Immortal 3,Flex,0.9323,5.2,22.8699,37.6
Truth,msngr,Radiant,Duelist,0.9788,5.0,23.2402,45.0
773,lol,Gold 2,Duelist,0.9061,4.4,12.0652,22.8
Boston,0918,Immortal 3,Controller,1.2825,7.0,12.7416,42.25
StandinNimz,POGI2,Immortal 3,Duelist,1.9533,2.5,25.9179,36.0
Phantomm,1912,Platinum 1,Flex,1.1388,4.2,1.3333,1.8
syhn,NA1,Immortal 2,Duelist,0.8452,1.4,34.9203,38.6
hyun,FPS,Immortal 3,Controller,1.3483,2.4,8.4639,23.2
Reks,8836,Immortal 3,Flex,1.1073,8.4,14.3035,56.0
TCU Fanman,1tap,Immortal 3,Controller,0.8822,5.6,23.314,59.8
βuu,kakke,Radiant,Flex,1.6993,4.4,4.898,14.2
METRO Kayros,000,Radiant,Initiator,0.9156,7.4,27.9626,57.2
FORTNITEWORLDCUP,BUGHA,Immortal 3,Duelist,0.9205,6.6,22.0366,41.8
PPpoetic,iwnw,Immortal 2,Flex,0.9129,5.2,20.5918,36.6
PrimeMCD,prime,Immortal 3,Controller,0.8723,7.4,20.8853,62.2
bxman007,NA1,Immortal 2,Sentinel,0.9014,2.6,16.7323,42.8
kkey,5434,Immortal 2,Initiator,0.9907,4.6,30.3053,40.0
zephyr,799,Radiant,Duelist,1.0792,2.4,16.1346,21.4
CE Joeyy,FPS,Immortal 3,Controller,1.1271,5.4,20.9916,27.2
dondada,9643,Immortal 3,Controller,1.3662,5.6,14.8821,16.4
TwitchZepyh,TTV,Immortal 3,Controller,0.8576,8.0,17.1306,57.2
Kxxsh,4448,Silver 1,Duelist,0.7748,6.6,0.0,0.0
ThisKetchupSpicy,9141,Immortal 2,Flex,0.8582,4.4,16.0323,28.6
ChefMungDaal,8220,Gold 2,Duelist,1.1722,2.8,26.9022,21.2
ShimmyXD,NA1,Radiant,Initiator,1.4119,4.4,25.5859,38.2
Tiffae,uwu,Immortal 2,Controller,0.825,7.0,20.23,60.4
G4B ZANE ZULU,314,Immortal 1,Flex,0.8923,8.0,16.5006,48.6
Senju,0708,Silver 1,Flex,1.3529,5.2,3.6364,6.6
Im Him,yaboi,Immortal 3,Sentinel,0.9313,2.2,32.6147,38.2
Kev in,0309,Diamond 2,Flex,1.374,5.8,9.0,16.2
Sev7n,Gold1,Immortal 2,Duelist,1.1954,4.6,14.2422,17.4
justinovah,000,Radiant,Flex,0.7722,6.3333,23.0789,57.6667
