User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
EG pho,rat,Immortal 3,Flex,1.3167,6.8,41.731,56.4
mgrabow5,1586,Silver 1,Controller,0.937,2.6,6.3158,6.0
STYLESY,YEAH,Immortal 3,Initiator,1.5492,4.2,14.6824,28.6
RocKy,blboa,Silver 3,Flex,1.1314,4.4,4.4444,10.6
Kyro,kana,Radiant,Flex,1.105,6.8,24.1752,67.8
flood,3123,Platinum 2,Flex,1.3955,5.2,12.0108,23.4
POOLFLOATY,peeEF,Immortal 3,Controller,0.9876,5.6,17.4832,50.2
Calin,Cal,Immortal 2,Flex,2.0111,2.6,23.0464,31.4
TwitchOGNahbi,8545,Silver 2,Flex,0.8999,3.6,12.5998,18.2
zogratis,12345,Radiant,Sentinel,1.2484,4.2,31.9275,36.4
Stori,idc,Immortal 3,Flex,1.0866,5.4,35.5094,48.6
BRANTED,heavy,Radiant,Controller,1.066,4.8,23.9312,61.4
endless,C9TG,Diamond 3,Flex,1.8176,4.4,0.0,0.0
baba,YUH,Platinum 1,Initiator,1.2526,4.2,24.6448,30.8
zoady,solo,Radiant,Duelist,1.4022,3.2,25.2233,45.0
renz,77777,Radiant,Flex,1.158,6.2,35.8905,61.4
morgen,ymg,Immortal 1,Flex,1.8185,1.8,5.7143,10.0
career,6ft5,Immortal 3,Flex,1.07,6.4,21.4333,54.6
Jazo,773,Immortal 1,Duelist,1.3072,3.2,29.1447,42.6
a2guapo,315x1,Immortal 3,Flex,1.1099,3.8,26.0242,45.4
sole,1111,Immortal 3,Initiator,0.874,4.8,33.7412,53.2
RuckyDuck,why,Radiant,Duelist,1.6927,2.8,15.1696,29.4
tyti,000,Immortal 3,Sentinel,0.9855,3.4,30.4939,49.4
starry,yikes,Immortal 3,Flex,0.7457,4.6,27.852,53.0
stunna,2006,Radiant,Flex,0.6258,2.8,3.9216,7.2
Cartier,wnl,Immortal 2,Flex,1.5029,6.6,20.133,40.0
NixS,1955,Diamond 3,Controller,2.0314,4.2,0.0,0.0
GetMeOut,NoJk,Gold 2,Flex,1.7384,5.8,15.2975,33.2
nautic,6912,Immortal 3,Duelist,1.405,3.0,38.0885,42.2
Ziehm TTV,2121,Immortal 3,Duelist,1.1601,4.6,38.5611,46.8
tyfoon,DecaD,Radiant,Initiator,0.9525,7.2,28.4115,55.6
sam,idk,Immortal 3,Flex,0.882,3.4,35.5178,41.8
