User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
Franckly,2003,Silver 1,Initiator,0.8775,4.4,22.0326,49.2
AllegedCapybara,8905,Iron 2,Flex,0.5553,4.0,5.5784,31.8
Philly,9096,Silver 1,Controller,1.436,4.8,17.9168,46.2
NaNamiRevon,7297,Bronze 2,Controller,1.1441,3.4,16.1212,24.2
Fuzions,7210,Silver 1,Sentinel,1.0456,3.8,16.7837,32.2
JakeTheDog,Snpai,Silver 1,Duelist,0.8453,3.6,21.9853,39.6
SaiBoy,3000,Bronze 3,Flex,1.1683,5.0,13.8492,27.4
jagermoon,9338,Bronze 3,Duelist,1.0067,1.0,24.9632,14.2
ECHO,NUT,Silver 2,Duelist,1.0567,2.6,16.5261,21.6
ThxSeeYaL8er,0616,Silver 2,Duelist,1.571,0.8,15.7157,14.4
WillzZ,7777,Silver 2,Initiator,1.3158,3.6,18.822,42.6
Hanma,Yonko,Silver 3,Controller,1.0251,6.0,7.4048,38.2
bshink,NA1,Bronze 3,Sentinel,0.9493,4.2,10.9191,25.2
Kaylalah,NA1,Bronze 1,Flex,0.7421,3.2,14.8016,20.0
omphal0s,4290,Silver 3,Controller,1.2581,8.2,16.4467,74.0
honeyly,8008,Bronze 2,Duelist,0.8567,1.4,16.4151,16.2
grape,berry,Silver 3,Initiator,1.1576,3.0,20.2365,33.6
ロータス,munk,Gold 3,Controller,0.6321,7.2,0.0,0.0
Kaceytrons Bra,NA1,Silver 1,Duelist,1.8749,3.8,39.0057,26.4
uno,9782,Bronze 2,Initiator,1.0306,5.8,12.1083,33.2
GoldenPants,goldy,Silver 2,Duelist,1.3826,9.4,0.0,0.0
Smoiley,tog,Iron 3,Duelist,1.1146,2.8,12.9736,33.8
Michi no o,NA1,Bronze 2,Duelist,1.2713,4.2,12.5686,50.8
PenguininaBlazer,4307,Silver 1,Duelist,1.4485,3.0,19.186,43.2
bigbootybro,0000,Silver 1,Duelist,1.1337,4.4,5.7885,12.6
StylelessMango,1326,Bronze 1,Initiator,0.7754,5.8,7.0339,29.8
Shadesmoke,NA1,Silver 2,Duelist,1.9929,5.6,6.8095,9.2
LongDongKrummp,3550,Silver 2,Flex,0.804,5.4,12.1965,46.8
LookAFish,5186,Silver 1,Duelist,1.2171,4.4,7.6475,25.8
Rika Kawai,WEGG,Diamond 1,Flex,0.8845,5.4,5.2459,6.0
Officepandaa,ofpn,Silver 2,Duelist,4.8147,4.6,19.115,23.6
Ohitsdatboi,2015,Iron 3,Sentinel,0.6481,2.4,19.264,16.8
MrTophat,1381,Iron 3,Sentinel,1.6905,3.8,16.0855,33.4
moяi,999,Silver 1,Initiator,0.7278,6.4,8.2963,47.2
LEClawDaDaemon,hglol,Bronze 1,Initiator,0.8089,3.6,14.7048,28.6
Delta 8 User ツ,6969,Gold 2,Flex,1.2408,2.4,8.0327,24.4
LeQuackersGalore,NA1,Gold 1,Initiator,0.8717,6.8,10.8405,39.2
Gambino,7912,Silver 2,Duelist,1.3826,6.2,7.6911,32.8
Kermious,4084,Iron 2,Controller,1.2988,4.2,5.1807,50.0
Starwhal Smols,NA1,Bronze 3,Duelist,1.3879,3.8,11.0677,22.8
ghostpants,3214,Iron 2,Duelist,1.1337,2.6,22.2233,26.6
ChaseCarries,1145,Bronze 2,Initiator,1.1659,3.0,6.7367,21.6
scabmaster69,2594,Iron 3,Initiator,1.0647,1.6,0.0,0.0
Joker,8028,Platinum 2,Sentinel,0.7509,7.4,7.4727,31.8
Pika,Fruit,Silver 3,Initiator,0.997,3.8,12.5092,19.8
JimblesJumble,Cring,Iron 3,Controller,1.1484,2.4,5.5848,31.0
Lucid,1250,Bronze 2,Initiator,0.9,0.6,14.7792,11.6
Unlucky,4Fun,Bronze 2,Duelist,1.848,3.6,16.3092,25.8
Selethan,NA1,Gold 3,Initiator,1.4204,7.0,8.5417,8.4
Sodium,NaOH,Iron 2,Flex,0.2986,3.4,6.08,22.0
