Users,Tags,Rank,Rank Name,Ability Usage,Headshot %,Position,KD,Assists
YUNGBOODYLICJJR,9365,7.0,Silver 1,47.5,12.1349,Flex,1.5417,6.0
ren,FEQG,11.0,Gold 2,,,Flex,,
lavishing,5419,3.0,Iron 3,9.4,8.1376,Sentinel,1.8938,2.2
TessTickles,SUSSY,3.0,Iron 3,33.4,11.7277,Flex,0.7069,4.8
brownie,hiii,16.0,Diamond 1,22.0,36.8421,Flex,2.0,2.0
EdTenn,4723,4.0,Bronze 1,18.0,4.9269,Duelist,0.4543,4.8
bowl,cream,,NaN,,,Flex,,
ok6942069,4992,8.0,Silver 2,12.8,12.8196,Sentinel,1.0448,4.6
AquaFades,999,6.0,Bronze 3,43.8,16.9421,Sentinel,2.0868,2.8
RustyShacklford,NA2,,NaN,9.0,10.2564,Duelist,0.8939,2.0
plata,days,10.0,Gold 1,46.8,9.8299,Flex,1.1878,3.2
PROD JR,SLY,17.0,Diamond 2,6.2,8.4286,Duelist,0.5843,0.8
monkeychunky34,2509,4.0,Bronze 1,14.8,10.4579,Initiator,0.85,2.8
DrZika,5187,,NaN,20.4,11.5264,Flex,1.172,4.2
cocomanV18,coco,14.0,Platinum 2,39.4,19.1957,Duelist,1.1635,5.0
moosejG,NA1,6.0,Bronze 3,29.5,6.9608,Flex,0.6209,6.5
ImmaDuck,5785,3.0,Iron 3,15.8,7.9294,Initiator,0.9067,2.6
Amberoskee,2178,6.0,Bronze 3,28.4,6.6612,Initiator,1.3922,4.8
808Nimbus,808,11.0,Gold 2,28.4,7.5878,Flex,0.4588,4.2
bashcalla,5187,6.0,Bronze 3,30.0,10.7692,Flex,0.8235,4.0
Bornk,NA1,8.0,Silver 2,,,Flex,,
Twïzzy,ADot,9.0,Silver 3,63.0,32.0755,Flex,1.4615,6.0
towbinpg,grug6,5.0,Bronze 2,20.8,11.6694,Duelist,0.9303,5.8
Eesential,8274,7.0,Silver 1,30.0,9.375,Flex,0.8125,8.0
duryoo,아이카,11.0,Gold 2,39.6,16.1493,Duelist,1.4386,3.4
miku nakano,2540,10.0,Gold 1,24.4,8.682,Duelist,1.1696,3.4
YEETUSFETUS,ABRT,7.0,Silver 1,31.0,5.5556,Flex,0.9308,11.5
y0dylann,3028,7.0,Silver 1,22.8,10.8113,Duelist,1.1384,5.2
Philly,9096,9.0,Silver 3,50.5,22.091,Flex,1.3993,4.0
KILOMETERSSS,8455,7.0,Silver 1,33.0,9.3359,Flex,1.9863,2.8
ThunderCxnt,8812,11.0,Gold 2,40.4,19.0749,Sentinel,1.2687,6.0
1Logic,NA1,7.0,Silver 1,24.8,12.4166,Sentinel,0.7398,5.0
Twizz,puss,7.0,Silver 1,21.8,13.9283,Flex,1.6256,6.4
