Users,Tags,Rank,Rank Name,Ability Usage,Headshot %,Position,KD,Assists
kyriam,LUX,20.0,Immortal 2,31.0,18.8715,Flex,1.3514,5.8
Jeaned,69420,17.0,Diamond 2,52.8,23.7272,Duelist,1.2264,4.6
trxzzy,11111,17.0,Diamond 2,46.2,17.7776,Flex,0.9023,4.0
JUDGE ABUSER,oppo,13.0,Platinum 1,49.2,20.4121,Duelist,1.0566,4.4
Canadian,1216,15.0,Platinum 3,50.5,16.3853,Flex,0.7451,5.0
Blitz,7698,21.0,Immortal 3,29.4,19.177,Duelist,1.4707,4.0
oink784,yuka,17.0,Diamond 2,,,Flex,,
StrawHatJoey,TTV,13.0,Platinum 1,,,Flex,,
tauntsocket,7011,14.0,Platinum 2,33.6,18.5945,Duelist,1.0576,5.8
Washed,69420,18.0,Diamond 3,39.8,16.2016,Flex,1.3001,9.4
nisko,7645,17.0,Diamond 2,49.2,15.6228,Initiator,0.7637,7.4
Detrimental,Vibin,20.0,Immortal 2,16.6,12.2637,Initiator,1.0169,5.2
NotAceman,3774,18.0,Diamond 3,49.4,21.4437,Sentinel,1.2917,7.2
Stepson,7819,18.0,Diamond 3,32.5,22.166,Flex,1.3929,2.5
dave gaming,dave,19.0,Immortal 1,39.0,19.6078,Flex,0.9231,3.0
Saturn360,NA1,17.0,Diamond 2,,,Flex,,
Chisei,Gen,12.0,Gold 3,54.0,30.7195,Initiator,1.6049,8.2
biz,7373,18.0,Diamond 3,,,Flex,,
stunna,pog,15.0,Platinum 3,43.0,12.3466,Duelist,0.7538,4.8
Fiercespeed,NA1,16.0,Diamond 1,17.2,9.2698,Flex,0.9221,5.2
ProSexHaver,std,18.0,Diamond 3,8.6,2.8571,Flex,1.7218,6.0
FierceOps,7255,11.0,Gold 2,22.6,22.7909,Flex,1.8402,2.6
Scarey,Bubs,20.0,Immortal 2,67.0,22.807,Flex,1.375,4.0
siopao,7733,14.0,Platinum 2,41.2,10.7403,Flex,0.6779,5.0
Wizop,5305,16.0,Diamond 1,35.0,21.0526,Flex,0.5556,6.0
Jeffcasa,jeff,17.0,Diamond 2,36.6,14.6652,Duelist,1.2894,4.8
comebucket,some,18.0,Diamond 3,28.2,23.8438,Flex,0.9094,4.4
BAM,6969,21.0,Immortal 3,42.2,13.364,Initiator,0.72,4.2
3T Papi Potato,3690,18.0,Diamond 3,,,Flex,,
notmadoki,1738,17.0,Diamond 2,32.8,11.9579,Flex,1.0506,3.6
hype,7777,23.0,NaN,46.8,23.4278,Controller,1.0558,5.2
Charmz,9652,22.0,Radiant,,,Flex,,
Shin,9904,21.0,Immortal 3,87.0,23.8095,Flex,1.0,7.0
Rawn,8827,17.0,Diamond 2,40.0,10.2443,Flex,0.8457,5.6
bdawg,ftx,18.0,Diamond 3,21.0,22.0223,Duelist,1.2389,6.0
JjxTDot,0000,20.0,Immortal 2,25.4,19.2778,Initiator,1.3986,5.6
Reyad,0001,15.0,Platinum 3,49.4,16.2376,Duelist,0.7979,5.0
ailee fanboy,0910,18.0,Diamond 3,27.2,28.8455,Sentinel,1.0808,3.4
valorantgamerman,6972,15.0,Platinum 3,37.4,16.3238,Duelist,1.2547,5.2
floKiii,grind,16.0,Diamond 1,18.6,10.9311,Duelist,1.115,5.8
EwPeyZhuyOrbit,1513,15.0,Platinum 3,46.4,24.7557,Duelist,0.8144,3.4
platina,1831,15.0,Platinum 3,29.4,17.5109,Duelist,2.0425,2.0
ItDoBeSweetTho,4053,16.0,Diamond 1,,,Flex,,
MF collitoon,8241,15.0,Platinum 3,28.2,16.283,Flex,0.9499,4.2
forgotten,yup,18.0,Diamond 3,24.0,19.2308,Flex,1.0625,3.0
LicheeTea,fruit,16.0,Diamond 1,54.0,26.3158,Flex,1.9231,12.0
astrid,NGOC,21.0,Immortal 3,13.8,9.4076,Flex,3.4565,3.2
Perfxctionz,1124,21.0,Immortal 3,35.8,24.5429,Initiator,1.072,5.4
EXX,BDLAM,18.0,Diamond 3,36.0,12.5,Flex,0.9333,2.0
peanuttie,ash,18.0,Diamond 3,35.0,17.7783,Flex,1.5926,5.0
Beyond,Diff,16.0,Diamond 1,41.4,8.2038,Duelist,1.1819,4.6
Limit,2063,21.0,Immortal 3,56.0,21.4066,Initiator,1.0095,9.0
carlo,bloop,12.0,Gold 3,18.6,9.5308,Initiator,1.0417,6.2
Cheddar Bob,313,20.0,Immortal 2,54.0,15.7529,Flex,0.9971,6.0
EyeGacha,NA1,20.0,Immortal 2,56.4,12.6638,Controller,1.2711,6.2
kunt,8888,16.0,Diamond 1,47.8,17.9022,Controller,1.0074,7.6
NLaF7,131iq,23.0,NaN,5.5,25.0,Flex,0.8333,3.5
TyTy,9061,19.0,Immortal 1,51.6,23.2373,Initiator,0.9345,7.0
LooneyDrizzle,NA1,20.0,Immortal 2,54.8,20.8956,Flex,1.1322,4.8
GravyCat,3303,18.0,Diamond 3,28.2,10.4568,Duelist,1.5702,6.0
Meganie,Megs,17.0,Diamond 2,37.5,35.625,Flex,0.9412,2.5
Dean Craig,rip,19.0,Immortal 1,56.8,22.5609,Duelist,1.3368,7.2
D0V3S,MOCHA,21.0,Immortal 3,30.2,18.7393,Duelist,2.1949,4.0
TVsoftjohns,5586,15.0,Platinum 3,,,Flex,,
ALPHAMALEGOD69,EZPZK,21.0,Immortal 3,,,Flex,,
Justin Her Bed,UwU,19.0,Immortal 1,48.8,19.9137,Duelist,1.6852,4.8
bryan04082011,2011,19.0,Immortal 1,27.0,31.706,Flex,1.3724,5.0
Serrvant,7074,14.0,Platinum 2,58.8,14.4079,Initiator,0.9649,4.4
Misk,Tokyo,14.0,Platinum 2,19.4,18.2817,Sentinel,1.4763,3.8
popkorn,2727,13.0,Platinum 1,14.8,10.991,Controller,1.1766,5.0
Baz,7877,23.0,NaN,36.2,21.2488,Sentinel,0.7929,5.2
IamBoosted,20rr,18.0,Diamond 3,44.4,28.6861,Duelist,1.7939,3.0
Mothman,0001,18.0,Diamond 3,62.0,16.7747,Flex,0.7936,7.2
WANGDELL,GGWP,19.0,Immortal 1,29.4,20.2614,Initiator,0.7406,3.4
yuno,999,18.0,Diamond 3,,,Flex,,
WhaleLord,2817,16.0,Diamond 1,41.0,12.399,Flex,1.6246,5.6
Fweibee,NA1,16.0,Diamond 1,30.3333,20.9428,Flex,0.4762,2.0
HONK,3227,7.0,Silver 1,6.2,11.7857,Controller,1.4205,4.0
JustPlain,Marc,16.0,Diamond 1,,,Flex,,
TWO TAP TONY,3767,20.0,Immortal 2,35.0,16.3636,Flex,0.3333,1.0
nightwing,dang,19.0,Immortal 1,54.8,17.8868,Flex,0.5172,5.4
marcos,slay,12.0,Gold 3,22.8,13.697,Flex,1.3485,4.8
aquila,ggwp,20.0,Immortal 2,39.0,24.4444,Flex,1.5,9.0
his bottom frag,auugh,16.0,Diamond 1,46.0,16.6246,Flex,1.1725,8.0
Pa beasty,9907,19.0,Immortal 1,40.0,26.3158,Flex,0.4667,3.0
Joe Enthusiast,6969,17.0,Diamond 2,35.4,22.9056,Duelist,0.9805,2.2
FrnkEclimbs69,NA11,20.0,Immortal 2,20.5,38.9286,Flex,0.7,1.0
Roro,2002,16.0,Diamond 1,45.4,18.9918,Initiator,0.6776,6.4
ComeHonorFace,6385,16.0,Diamond 1,44.0,19.1656,Flex,1.0765,4.0
Maeng,11111,16.0,Diamond 1,72.0,20.9829,Controller,1.442,6.6
Domskorean,7788,20.0,Immortal 2,49.8,17.5513,Initiator,0.9797,6.6
Grasshopper,hop,15.0,Platinum 3,37.0,30.9932,Duelist,1.0446,3.2
brado,997,15.0,Platinum 3,48.8,19.5095,Flex,0.9679,4.6
EZTKD,5294,19.0,Immortal 1,39.8,14.8638,Flex,0.8462,7.0
Upstate Dabber,NA1,18.0,Diamond 3,41.6,19.7593,Sentinel,1.0863,3.2
VanQ,Na2,18.0,Diamond 3,39.2,12.7969,Sentinel,0.6899,3.4
Skittle541,1058,11.0,Gold 2,,,Flex,,
stynst,444,18.0,Diamond 3,20.8,14.5056,Duelist,0.8838,3.4
Glizzy Gladiator,9467,14.0,Platinum 2,42.4,10.7382,Controller,0.8617,6.8
Grecher,3880,16.0,Diamond 1,,,Flex,,
Erebus,3300,21.0,Immortal 3,16.8,13.6765,Duelist,1.2849,2.4
falenciamas,2519,18.0,Diamond 3,38.0,21.2121,Flex,0.4706,5.0
Bullseye,E WIZ,16.0,Diamond 1,35.6,27.6557,Duelist,1.2989,2.4
jbryan,0823,20.0,Immortal 2,85.6,22.2379,Flex,1.0838,7.8
IO Gary,Ego,21.0,Immortal 3,45.8,23.5371,Duelist,0.8855,4.6
Abyss,SHO,19.0,Immortal 1,44.2,16.4134,Sentinel,1.4869,3.2
Epotato,9936,12.0,Gold 3,31.2,12.0067,Controller,0.9054,4.6
Zoey,dec17,12.0,Gold 3,24.4,19.6329,Duelist,1.4078,3.8
Sterling,8554,21.0,Immortal 3,70.0,14.2857,Flex,0.875,17.0
yotoad,6985,18.0,Diamond 3,24.6,12.1374,Initiator,1.1152,5.0
bxman007,NA1,22.0,Radiant,24.0,12.5,Flex,0.5333,0.0
Nateシ,kekw,15.0,Platinum 3,24.2,17.4033,Initiator,0.9893,6.0
Lefano,FATE,14.0,Platinum 2,29.0,22.0422,Initiator,1.3274,4.6
lay this gameer,9378,,NaN,0.0,0.0,Flex,0.75,5.0
AlphaZombie,TEO,18.0,Diamond 3,,,Flex,,
FlacoFígaro,buho,20.0,Immortal 2,23.4,10.8966,Flex,1.1641,5.8
Bilbo Buttcheeks,4626,6.0,Bronze 3,19.5,15.5303,Flex,0.75,2.5
Eziò,NA1,14.0,Platinum 2,39.4,14.3094,Initiator,0.9877,5.6
Kroolis,4982,17.0,Diamond 2,26.0,15.625,Flex,0.6429,5.0
tubby,3180,16.0,Diamond 1,44.3333,18.8814,Sentinel,0.9148,7.0
Slimedawg,high,19.0,Immortal 1,80.0,15.7895,Flex,1.8,6.0
Tamil HoM,moss,18.0,Diamond 3,40.5,32.1632,Flex,0.9583,1.0
Outlaw무법자,Weird,4.0,Bronze 1,11.8,14.1353,Controller,1.219,1.2
SEN nude,SEN,16.0,Diamond 1,62.0,27.027,Flex,0.7857,7.0
Big Wenus,moc,18.0,Diamond 3,20.6,7.8235,Initiator,1.1295,8.0
spedkid295,7675,15.0,Platinum 3,,,Flex,,
caliban,とoωoっ,18.0,Diamond 3,0.0,0.0,Flex,1.5442,4.4
taehyun,YAS,12.0,Gold 3,25.4,22.7284,Duelist,1.3101,3.4
Snoopies,3113,16.0,Diamond 1,40.0,35.2212,Controller,1.6197,5.8
Nerves,KILL,17.0,Diamond 2,46.6,23.0978,Initiator,1.1456,7.6
IssaSecrett,DBSTP,18.0,Diamond 3,49.0,24.7187,Initiator,0.9857,3.6
no stress,0001,18.0,Diamond 3,43.0,33.3333,Flex,1.2222,3.0
JuIy,NA1,21.0,Immortal 3,37.8,20.6854,Flex,1.2522,3.6
MommyDuck,1831,16.0,Diamond 1,103.0,25.4902,Flex,1.381,6.0
low,jon,20.0,Immortal 2,31.0,17.9702,Duelist,1.2692,3.6
killdsii Stan,dsii,17.0,Diamond 2,43.0,5.7937,Flex,0.5729,6.0
Monotone,7088,,NaN,,,Flex,,
jacksoñ,FSU,20.0,Immortal 2,25.0,16.4891,Controller,1.2153,6.2
SMSU jACKs0n,J V,,NaN,43.4,13.0395,Initiator,1.2364,5.0
snake,levi,20.0,Immortal 2,4.4,7.5556,Flex,0.8295,3.4
akm,GOAT,17.0,Diamond 2,34.6,20.1328,Duelist,1.2971,3.2
jmo,0000,17.0,Diamond 2,45.8,16.6591,Duelist,1.2365,3.0
vorcez,12331,21.0,Immortal 3,52.8,23.5866,Duelist,1.1984,4.0
BAGMANRICK,619,16.0,Diamond 1,49.0,13.0704,Initiator,0.7616,4.3333
DKT Ene,NA1,19.0,Immortal 1,35.5,21.7059,Flex,0.8421,5.5
Broughy757,NA1,17.0,Diamond 2,41.6,20.7523,Flex,1.0321,4.8
Fish,303,17.0,Diamond 2,38.8,16.1883,Initiator,0.7274,3.6
i miss her,tate,17.0,Diamond 2,26.0,16.3636,Flex,2.1111,3.0
Sean,8843,19.0,Immortal 1,68.5,27.2819,Flex,1.0119,4.0
Weed man Dan,5320,19.0,Immortal 1,35.0,16.3758,Sentinel,1.1391,3.6
christine,ama,17.0,Diamond 2,,,Flex,,
Bloo,Tea,18.0,Diamond 3,38.4,11.6315,Duelist,0.9858,5.0
Zyius,NA1,19.0,Immortal 1,,,Flex,,
myles,333,21.0,Immortal 3,11.0,46.6667,Flex,5.0,0.0
Toad,4148,15.0,Platinum 3,46.6,17.4614,Flex,1.1163,5.8
Bepo,hoove,19.0,Immortal 1,33.0,24.611,Flex,1.6303,1.5
Sparrow,5540,20.0,Immortal 2,44.0,8.8549,Duelist,0.8687,6.2
joedahoe,uwu,15.0,Platinum 3,,,Flex,,
thyace,2444,4.0,Bronze 1,8.8,7.0898,Duelist,0.515,1.8
gib,3539,15.0,Platinum 3,35.2,14.3589,Sentinel,0.835,4.8
SuperIdoI,Idol,15.0,Platinum 3,11.0,20.4545,Duelist,1.6821,1.6
deknid,9141,19.0,Immortal 1,46.0,22.0901,Controller,0.7629,3.6
Metacom,2120,9.0,Silver 3,11.5,18.3712,Duelist,1.3124,4.75
kittenbreeder42,casey,21.0,Immortal 3,59.5,26.0728,Flex,1.3571,7.5
iloveolivia,8989,18.0,Diamond 3,35.4,31.813,Duelist,1.9444,4.4
Lelouch,MXG7,14.0,Platinum 2,30.8,28.4414,Duelist,3.1048,1.6
slakter,000,18.0,Diamond 3,23.2,12.7953,Duelist,1.5871,2.8
melina,heart,16.0,Diamond 1,46.6667,15.1923,Flex,1.3481,0.6667
lieg,pny,19.0,Immortal 1,46.6,34.9094,Initiator,1.0582,6.8
getwalled,1584,8.0,Silver 2,30.8,9.6235,Duelist,1.3683,4.6
HenTai Mouse,2862,17.0,Diamond 2,,,Flex,,
Jj7,42069,12.0,Gold 3,34.0,9.1411,Flex,0.737,6.8
NOTORIOUSRNG,GOAT,,NaN,14.5,11.2343,Flex,0.7742,2.0
Jacksparra,NA1,15.0,Platinum 3,38.0,10.9589,Flex,0.9286,14.0
clouds,1975,15.0,Platinum 3,43.6,12.7175,Sentinel,0.7136,9.6
Paulina,8059,16.0,Diamond 1,,,Flex,,
Ragnar,5579,18.0,Diamond 3,36.0,9.901,Flex,1.0,13.0
fatjokeswill,0312,20.0,Immortal 2,42.2,17.4658,Flex,0.9568,6.2
Legion,3645,14.0,Platinum 2,38.8,24.2373,Sentinel,1.2613,6.4
jqson,0810,18.0,Diamond 3,13.4,10.6667,Flex,0.8393,3.2
saudade,1962,19.0,Immortal 1,39.0,18.6343,Flex,0.8773,4.0
mpizzlesaurus,1136,16.0,Diamond 1,51.4,12.2793,Controller,1.1805,8.0
ITZ tokes grabba,3063,,NaN,31.4,18.1578,Duelist,1.1692,2.6
UB poopoo peepee,uh oh,13.0,Platinum 1,37.2,12.6398,Sentinel,0.8226,2.2
bhil,2751,16.0,Diamond 1,47.2,16.1573,Flex,1.0863,4.6
Luffo,3123,14.0,Platinum 2,33.6,12.9916,Flex,0.8344,2.6
CB crowify,6000,20.0,Immortal 2,52.0,24.452,Initiator,1.1299,4.6
JKL,4004,19.0,Immortal 1,55.8,18.6176,Controller,0.8217,8.2
Swavy,3755,15.0,Platinum 3,19.4,5.5835,Flex,1.1721,4.2
CadeShootsThings,80085,,NaN,25.4,13.1517,Flex,1.6429,2.8
Floater,7075,16.0,Diamond 1,25.0,17.2414,Flex,0.6429,3.0
elohssauoy,666,14.0,Platinum 2,22.8,26.2967,Initiator,1.937,3.4
sloop,ado,19.0,Immortal 1,39.2,23.9494,Flex,1.5185,5.8
Blackstroke3,Aimer,16.0,Diamond 1,32.8,16.4198,Duelist,1.1887,4.0
Luii,5566,19.0,Immortal 1,51.0,23.2558,Flex,0.7143,3.0
talietheGOAT,hehe,16.0,Diamond 1,45.0,22.2222,Flex,1.5556,1.0
DDDDDDDDD ª,WWWWW,22.0,Radiant,70.4,26.9142,Flex,1.07,7.4
OROD,NA1,17.0,Diamond 2,32.2,9.7706,Duelist,1.0015,4.0
KachiKMK,8950,19.0,Immortal 1,51.0,9.0909,Flex,1.1429,3.0
NoobinatorUwU,9714,7.0,Silver 1,43.0,25.0,Flex,0.75,2.0
Gatts,1110,19.0,Immortal 1,39.6,23.4336,Duelist,1.1414,4.2
digital druglord,6569,18.0,Diamond 3,34.2,29.8261,Flex,1.4157,5.2
Nickyoogle,12345,19.0,Immortal 1,5.4,3.3333,Controller,1.3033,4.6
thevil1,7055,20.0,Immortal 2,37.5,14.7071,Flex,1.25,4.5
Sompily,DuE,19.0,Immortal 1,,,Flex,,
Exysis,for1,18.0,Diamond 3,43.0,22.7848,Flex,0.8889,5.0
Bu1ba,NA1,11.0,Gold 2,25.0,14.1509,Flex,1.1012,2.5
Sh0rtbuz,8198,13.0,Platinum 1,19.8,8.8106,Flex,0.7343,4.0
dLanE,iwl,19.0,Immortal 1,59.0,28.168,Sentinel,0.9624,5.2
MasterTea,9440,17.0,Diamond 2,34.4,18.9859,Sentinel,0.7488,5.0
Kenya,0911,20.0,Immortal 2,,,Flex,,
Bobamint,2881,17.0,Diamond 2,37.4,15.7829,Duelist,1.1594,5.2
Neil N Blowme,BJ69,19.0,Immortal 1,22.0,19.3548,Flex,0.7143,1.0
bowman,0001,18.0,Diamond 3,54.8,29.6418,Controller,1.2769,4.4
carlo rolleri,uwu,18.0,Diamond 3,24.0,47.3684,Flex,1.7,2.0
vinay,0908,16.0,Diamond 1,12.6,11.7291,Flex,0.7827,2.8
222,ISA,20.0,Immortal 2,44.4,25.6054,Flex,1.1237,3.4
Toasty,snook,19.0,Immortal 1,43.6,13.2416,Initiator,1.652,5.4
MEGACHAD,1212,17.0,Diamond 2,51.4,25.9609,Controller,1.0346,4.2
getbonedsfather,4166,19.0,Immortal 1,52.0,29.5523,Flex,1.1786,3.0
killuminati,12345,21.0,Immortal 3,36.4,17.7938,Flex,0.9773,3.8
Whanger,1115,12.0,Gold 3,,,Flex,,
reze,cafe,19.0,Immortal 1,57.8,20.1805,Controller,0.778,8.0
Jin Jin,NA1,18.0,Diamond 3,33.0,33.7801,Duelist,1.0589,3.0
Caloon,808,19.0,Immortal 1,40.8,20.2755,Controller,0.805,3.4
POWAA シ,1996,17.0,Diamond 2,,,Flex,,
Zanny Granger,6969,15.0,Platinum 3,38.0,16.0318,Flex,0.9175,4.4
turtletoad,4418,15.0,Platinum 3,44.2,16.9197,Initiator,0.8334,3.8
Meshe,7556,18.0,Diamond 3,,,Flex,,
ogbugboi,swag,21.0,Immortal 3,39.0,24.0785,Sentinel,1.0655,3.0
nem,nem,18.0,Diamond 3,37.6667,20.5269,Flex,0.6651,6.0
Dadbod89,glizz,15.0,Platinum 3,31.6,20.9577,Duelist,1.3284,3.8
Dhruv,0000,17.0,Diamond 2,50.2,12.0943,Controller,0.9212,7.2
Carbonic,5198,19.0,Immortal 1,46.2,18.8856,Initiator,1.0481,8.2
speedygremlins,3688,12.0,Gold 3,20.2,7.4161,Flex,0.9772,6.0
Pyrallux,10219,16.0,Diamond 1,75.0,25.0,Flex,0.5909,11.0
kac,boxed,20.0,Immortal 2,65.0,34.0728,Flex,0.98,5.6
FilipinoAssasin,0209,15.0,Platinum 3,39.0,37.8788,Flex,0.9118,3.0
Źeal,NA1,16.0,Diamond 1,41.0,19.9034,Duelist,1.3199,5.0
hotdog henry,lol,22.0,Radiant,50.0,14.1277,Sentinel,1.0659,5.8
Sushilicia,8640,11.0,Gold 2,43.8,30.9454,Duelist,1.5459,3.2
The Beast Omega,9460,16.0,Diamond 1,41.6,12.4193,Sentinel,0.8388,5.8
Yewa Captain,Pika,15.0,Platinum 3,40.0,27.907,Flex,1.7778,8.0
valencyaa,NA1,20.0,Immortal 2,23.8,8.1509,Flex,1.3352,5.4
Zeus,3331,17.0,Diamond 2,46.8,30.3123,Initiator,0.8937,9.0
Ranuval,sigma,24.0,NaN,44.0,18.5601,Duelist,0.8208,1.6
crazy,9731,19.0,Immortal 1,24.0,10.9375,Flex,0.7778,4.0
cocom416,2402,21.0,Immortal 3,46.6,25.1657,Flex,1.8029,5.4
muaaz,5982,21.0,Immortal 3,25.8,13.3948,Sentinel,1.408,2.0
JinWokk,pain,18.0,Diamond 3,39.8,21.1735,Initiator,0.9865,5.8
Fuzzy,69420,15.0,Platinum 3,47.6,20.4017,Flex,0.9258,5.4
gn4Br3gn1F,TILTQ,17.0,Diamond 2,61.8,24.1791,Flex,1.3138,6.4
Mando,444,18.0,Diamond 3,,,Flex,,
griffin,wasd,18.0,Diamond 3,8.6,4.8276,Initiator,0.9084,2.2
vorce,6969,21.0,Immortal 3,26.8,18.7638,Duelist,1.6547,3.0
izzyP,6800,16.0,Diamond 1,57.0,24.5283,Flex,1.8182,7.0
Lethalz,ily,20.0,Immortal 2,39.6,12.4524,Duelist,1.2006,6.0
ΞΞOωOΞΞ,waifu,18.0,Diamond 3,30.4,16.6832,Controller,1.4036,4.8
sav,IPMAN,16.0,Diamond 1,61.6,13.7881,Initiator,0.9824,8.4
Moose,5107,20.0,Immortal 2,31.4,15.4495,Flex,1.1604,4.4
naqq,8755,20.0,Immortal 2,51.2,23.1402,Flex,0.9669,5.6
koopa,koop,21.0,Immortal 3,16.0,15.1282,Duelist,1.435,3.0
Hwean,Henry,18.0,Diamond 3,60.0,21.1576,Initiator,0.7546,6.0
EllaCruz,NA1,18.0,Diamond 3,14.0,11.5385,Flex,1.6,3.0
zormoe egg,yolk,22.0,Radiant,,,Flex,,
Meep,102,21.0,Immortal 3,29.0,3.9216,Flex,1.0852,7.5
Russ,Grind,19.0,Immortal 1,64.6,17.4483,Initiator,0.949,5.2
Tempo,423,20.0,Immortal 2,60.2,14.2557,Duelist,0.7062,5.0
notwinds2,3464,18.0,Diamond 3,42.6,21.0223,Initiator,1.1562,6.2
wyM,joann,21.0,Immortal 3,19.4,19.828,Duelist,3.2799,2.0
kittygames,123,14.0,Platinum 2,32.8,45.3246,Sentinel,1.386,2.0
nwaj,nora,20.0,Immortal 2,,,Flex,,
Limboistic,NA1,15.0,Platinum 3,49.2,18.7976,Initiator,0.7648,7.6
IamBananas,LION,14.0,Platinum 2,47.0,10.9466,Flex,1.5689,4.2
chewy lombardi,1502,13.0,Platinum 1,,,Flex,,
N3VERALIVE,N3VE,21.0,Immortal 3,36.0,14.2538,Duelist,1.3513,5.4
CHO Trex,2412,13.0,Platinum 1,10.0,3.4783,Duelist,0.7002,3.2
BrimsLittleGirl,qu33f,19.0,Immortal 1,32.0,21.6518,Flex,1.1161,4.4
smballer,4866,16.0,Diamond 1,34.8,19.2289,Flex,1.1258,5.0
koa,907,23.0,NaN,43.6,32.5745,Sentinel,0.9484,3.0
KILLRbtw,1432,19.0,Immortal 1,41.4,19.082,Duelist,1.1164,3.4
Viperdaddy69,Jett,9.0,Silver 3,10.0,8.7179,Flex,0.5887,5.3333
yawn,90210,19.0,Immortal 1,,,Flex,,
Mallyraws,Mally,14.0,Platinum 2,55.4,17.8156,Controller,1.994,5.0
BurritoBoy607,NA1,14.0,Platinum 2,41.4,23.4683,Sentinel,0.8643,4.8
LightTTV,NA1,,NaN,0.6667,10.0,Flex,0.6644,4.3333
Hennymane,2422,18.0,Diamond 3,52.0,28.0,Flex,1.4167,8.0
lobg,egg,18.0,Diamond 3,46.6,22.357,Flex,0.9242,4.6
Myron,1337,12.0,Gold 3,10.0,11.1111,Flex,0.5,3.0
Soùp,NA1,20.0,Immortal 2,29.8,15.2308,Flex,0.9149,8.2
GSR005,7283,6.0,Bronze 3,,,Flex,,
dude432432912319,1305,8.0,Silver 2,,,Flex,,
Yexy,0000,15.0,Platinum 3,,,Flex,,
WTDD CarT,1738,16.0,Diamond 1,53.4,12.0395,Initiator,0.9904,10.0
aysmd,8892,20.0,Immortal 2,45.2,19.4783,Initiator,0.9863,5.4
Tejo,9437,16.0,Diamond 1,45.2,21.3577,Flex,0.9219,6.8
Barrel,Aim,16.0,Diamond 1,35.2,23.4137,Initiator,0.7198,3.8
iFlexyn,8973,18.0,Diamond 3,57.8,11.0464,Flex,1.1164,6.8
vanillaXtract,5674,17.0,Diamond 2,,,Flex,,
MadDogMason,2414,17.0,Diamond 2,26.8,18.3982,Controller,0.8637,4.0
Gaunt,MARX,21.0,Immortal 3,29.2,17.2496,Controller,1.4382,5.4
Aquario,Mmmmm,18.0,Diamond 3,35.4,18.3009,Flex,1.0909,5.0
SK Cyn,yuh,22.0,Radiant,36.0,33.3333,Flex,0.5294,3.0
MKannie,Noob,15.0,Platinum 3,35.0,12.0688,Sentinel,1.7177,3.2
Dovahkiin,Huntr,19.0,Immortal 1,36.0,25.9259,Flex,0.5,9.0
devil,mia,17.0,Diamond 2,33.8,9.546,Duelist,0.4893,5.8
ArcAngel,0000,6.0,Bronze 3,16.4,29.6318,Duelist,1.8682,2.6
b0Jt00F,9682,17.0,Diamond 2,60.6,24.1752,Duelist,2.1202,5.8
jiminycricket498,amen,22.0,Radiant,63.2,37.1693,Sentinel,2.3287,4.8
jiGGie,0126,15.0,Platinum 3,92.0,15.0376,Flex,1.45,6.0
bigbootybob,6969,19.0,Immortal 1,45.8,19.1155,Duelist,1.0698,4.4
ItsMaddisyn,666,,NaN,,,Flex,,
Squark,01711,6.0,Bronze 3,,,Flex,,
Haricot,beans,18.0,Diamond 3,40.4,22.8447,Controller,0.9655,10.0
ThyThot,6969,15.0,Platinum 3,52.2,18.3769,Controller,0.9417,6.2
demen,0000,17.0,Diamond 2,44.0,23.719,Duelist,1.508,4.4
zutto zutto,NA1,17.0,Diamond 2,36.4,27.0252,Flex,0.8269,4.8
Zilmo,6050,11.0,Gold 2,9.4,3.9394,Initiator,0.9869,6.4
xHiredBodyGuardx,NA1,22.0,Radiant,48.0,25.1748,Flex,0.9786,6.5
Ballen20,6928,15.0,Platinum 3,46.0,11.1111,Flex,0.3889,6.0
포테이토 킹,peen,17.0,Diamond 2,56.0,19.5652,Flex,0.8421,6.0
November17,1117,13.0,Platinum 1,56.0,35.6805,Duelist,1.4244,5.0
1 head,6654,17.0,Diamond 2,33.5,19.9417,Flex,1.8382,3.5
Ang presidente,Budot,16.0,Diamond 1,35.3333,25.3079,Duelist,1.3128,4.3333
23kt,iRis,16.0,Diamond 1,61.0,15.2601,Controller,1.079,4.6
Thumpy,Thump,13.0,Platinum 1,43.6,15.1989,Flex,1.1206,4.6
Lunar,8529,15.0,Platinum 3,5.2,15.5952,Initiator,0.9124,1.2
TheThotPatroll,NA1,14.0,Platinum 2,50.0,25.9007,Controller,1.4441,5.6
swoop,aloop,16.0,Diamond 1,16.2,4.3137,Flex,1.7055,8.0
ominous,000,,NaN,70.0,23.5294,Flex,0.85,6.0
UUттUU,1029,16.0,Diamond 1,41.6,15.762,Flex,0.9527,5.8
houndoom,PKMN,16.0,Diamond 1,,,Flex,,
Degenerate,Moron,17.0,Diamond 2,57.0,31.0811,Flex,1.4762,6.0
AimASSIST,000,21.0,Immortal 3,51.6,16.9354,Sentinel,1.0355,8.0
EcLipTic,421,18.0,Diamond 3,50.6,17.6785,Flex,1.1303,7.6
TheHammer,4573,19.0,Immortal 1,39.0,26.8293,Flex,0.9286,4.0
mistymoo,thicm,8.0,Silver 2,15.4,9.8395,Duelist,0.9667,1.8
Korone,1NUGA,19.0,Immortal 1,32.8,16.0687,Duelist,1.1894,5.8
hommy,moh18,18.0,Diamond 3,42.8,16.9631,Flex,0.5791,5.6
IWiffAlot,Trash,17.0,Diamond 2,50.0,19.2465,Controller,1.6269,4.8
wickitywick,6267,,NaN,39.8,10.0194,Flex,1.0149,5.6
