User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
ElongatedGonads,cheez,Platinum 1,Initiator,0.8618,6.0,13.9136,53.8
saiii,zzz,Diamond 1,Duelist,1.0695,3.0,33.0004,24.2
chocolatee,1210,Diamond 1,Flex,1.7312,3.5,10.1852,10.0
caliban,とoωoっ,Diamond 1,Flex,1.5442,4.4,0.0,0.0
Jaden Smith,DONDA,Gold 1,Flex,0.749,4.0,15.8015,31.2
2dogallan,NA1,Bronze 1,Duelist,1.2115,4.8,6.2199,12.2
MrBenguin,Pengu,Diamond 2,Duelist,2.1583,5.4,18.4492,60.2
TheThotPatroll,NA1,Gold 3,Controller,1.4441,5.6,25.9007,50.0
vital,007,Diamond 3,Duelist,1.1514,3.8,4.7059,4.4
yh bruv,LDN,Platinum 3,Initiator,1.0696,7.6,24.727,31.8
Master Krsna,5030,Platinum 2,Duelist,1.1867,2.0,21.4428,19.2
egirl seeker,5251,Platinum 3,Duelist,1.4696,2.6,39.0737,24.4
Hekman,NA1,Gold 1,Sentinel,0.9927,3.6,13.5929,45.4
mymainiscombaned,3236,Platinum 1,Duelist,0.8992,6.6,9.9471,14.0
wuwu,999,Platinum 2,Duelist,1.2867,4.2,10.7111,22.4
ChickenLittle,Oo14,Immortal 2,Duelist,1.2632,3.2,19.3604,37.4
hamsterfriedrice,AHHHH,Diamond 1,Sentinel,0.94,2.6,11.4621,25.2
VibinIvan,5429,Gold 3,Duelist,1.1419,4.8,9.1731,45.4
kon,4444,Platinum 1,Duelist,1.0984,4.8,21.2873,30.8
geng,0404,Immortal 1,Duelist,1.5004,2.6,24.0741,16.4
cupoftoast,toast,Gold 3,Flex,0.4,1.0,20.0,9.0
Mitski,cawy,Diamond 3,Duelist,1.0875,5.0,39.092,38.4
tranquility,1313,Immortal 1,Flex,0.9657,6.6,8.0637,25.6
zuko,lego,Diamond 2,Flex,0.8848,4.8,7.5331,18.0
sinatraa fanboy,0827,Platinum 2,Duelist,0.7314,3.0,11.6065,25.2
xTikiTorch,1060,Gold 3,Flex,1.0373,4.2,20.7625,36.4
BurritoBoy607,NA1,Gold 3,Sentinel,0.9906,5.8,22.3152,44.0
Bleach,zzz,Platinum 2,Flex,1.3462,4.0,0.0,0.0
jordan,0470,Diamond 3,Flex,1.1141,7.8,21.924,38.8
B0ba,weeb,Gold 3,Flex,2.0556,2.0,0.0,0.0
Voiceless,1968,Gold 2,Duelist,1.896,6.2,1.25,3.4
mizclick,6969,Gold 1,Initiator,0.8532,3.2,11.4867,17.4
HONDACIVIC2015,GANJA,Diamond 2,Duelist,0.9035,3.0,17.0099,37.8
Ashe,6669,,Controller,1.87,2.0,22.9487,13.8
TOP Firequacker,quack,Immortal 2,Flex,1.0333,3.0,0.0,0.0
NzTSiko,3268,Platinum 1,Flex,NaN,NaN,NaN,NaN
orbitvL,1919,Diamond 1,Initiator,1.0053,4.6,9.1175,15.6
siren,333z,Diamond 3,Duelist,0.9894,3.6,12.5561,25.0
Benzo,Baby,Diamond 1,Initiator,0.9852,3.6,30.77,17.4
joey,panda,Silver 2,Duelist,0.8055,2.8,15.684,38.2
joseph1137,5346,Immortal 1,Flex,NaN,NaN,NaN,NaN
midknight,igor,Diamond 3,Flex,1.2668,4.0,15.6214,30.4
Eclipseツ,420,Immortal 2,Flex,0.9394,6.6,19.7598,45.6
